gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000240424	AC092824.1	0	0	0	0
ENSG00000240426	AC096743.2	0	0	0	0
ENSG00000240427	RPS26P34	0	0	0	0
ENSG00000240429	LRRFIP1P1	25.285	7.11	37.728	21.765
ENSG00000240432	KRTAP13-3	0	0	0	0
ENSG00000240435	RPS12P27	1	1	7	4
ENSG00000240436	AC114982.1	0	0	0	0
ENSG00000240438	OFD1P5Y	0	0	0	0
ENSG00000240439	RN7SL91P	0	0	0	0
ENSG00000240440	AC007879.4	0	0	0	0
ENSG00000240441	AC007622.1	0	0	7	0
ENSG00000240443	RPS10P20	0	0	0	0
ENSG00000240445	FOXO3B	96.273	52.538	172.518	52.496
ENSG00000240449	AC005586.1	3	3	7	1
ENSG00000240450	CSPG4P1Y	0	0	0	0
ENSG00000240452	MTCO1P29	0	0	0	0
ENSG00000240454	RPL39P26	0	0	0	0
ENSG00000240457	RN7SL472P	0	0	1	0
ENSG00000240458	AC072046.1	0	0	0	0
ENSG00000240459	AC093663.1	0	0	0	0
ENSG00000240463	RPS19P3	13.001	7.002	21	10
ENSG00000240470	RN7SL346P	0	0	0	0
ENSG00000240471	PHBP8	0	0	0	0
ENSG00000240474	RN7SL116P	0	0	6	1
ENSG00000240476	LINC00973	0	0	0	0
ENSG00000240477	AC022494.1	0	0	1	0
ENSG00000240478	AC012081.1	0	0	0	0
ENSG00000240480	RPL29P2	0	0	0	0
ENSG00000240481	RN7SL38P	0	0	0	0
ENSG00000240484	AC091544.1	0	0	0	0
ENSG00000240486	RPL23AP54	0	0	0	0
ENSG00000240487	AC093010.1	0	0	2	0
ENSG00000240489	SETP14	0	3.033	7.118	3.04
ENSG00000240490	RN7SL277P	0	0	1	0
ENSG00000240494	RPS12P28	0	0	1	0
ENSG00000240497	AC092919.1	3	0	1	3
ENSG00000240498	CDKN2B-AS1	4.229	6	12	6
ENSG00000240499	AC004594.1	0	0	0	0
ENSG00000240502	RN7SL837P	0	0	0	0
ENSG00000240505	TNFRSF13B	48	12	176.87	36.999
ENSG00000240509	RPL34P18	2.002	0	6.004	1
ENSG00000240511	MED28P2	0	0	0	0
ENSG00000240513	AL049830.2	0	0	0	0
ENSG00000240518	AC116353.2	0	0	0	0
ENSG00000240519	AC091675.1	0	0	0	0
ENSG00000240520	UOX	0	0	4	0
ENSG00000240521	AC092979.1	0	0	0	0
ENSG00000240522	RPL7AP10	0	0	0	0
ENSG00000240527	AL365273.1	0	0	0	0
ENSG00000240531	RPL21P123	5	11.012	21.007	16
ENSG00000240533	RN7SL69P	0	0	0	0
ENSG00000240534	RPL34P17	0	0	0	0
ENSG00000240535	AC034238.1	5	2	0	2
ENSG00000240540	RPL3P9	0	0	0	0
ENSG00000240541	TM4SF1-AS1	0	0	0	0
ENSG00000240542	KRTAP9-1	0	0	0	0
ENSG00000240545	RN7SL492P	0	0	0	0
ENSG00000240549	THOC7-AS1	0	0	0	0
ENSG00000240553	AL031428.1	0	0	0	0
ENSG00000240554	RPL7AP58	0	0	0	0
ENSG00000240562	AC016968.1	0	0	0	0
ENSG00000240563	L1TD1	2	1	14	13
ENSG00000240566	AC010153.1	0	0	0	0
ENSG00000240567	LINC02067	0	0	0	0
ENSG00000240568	AC107626.1	0	0	0	0
ENSG00000240571	AC087071.2	0	0	0	0
ENSG00000240572	AC107297.1	0	0	0	0
ENSG00000240573	AC117462.1	0	0	0	0
ENSG00000240577	RN7SL445P	0	0	0	0
ENSG00000240578	TRBV22-1	0	0	0	0
ENSG00000240579	AC006529.1	0	0	0	0
ENSG00000240583	AQP1	147	41	3	68
ENSG00000240584	RN7SL547P	0	0	0	0
ENSG00000240589	RN7SL258P	1	0	3	1
ENSG00000240590	RPSAP48	0	0	0	0
ENSG00000240591	AL096701.3	4	9	9	8
ENSG00000240596	KCNAB1-AS2	0	0	0	0
ENSG00000240601	RPL9P15	1	0	0	0
ENSG00000240602	AADACP1	0	0	0	0
ENSG00000240606	RN7SL564P	0	0	0	0
ENSG00000240611	AC010307.1	0	0	0	0
ENSG00000240613	RN7SL98P	0	0	0	0
ENSG00000240616	RPS6P25	8	16.005	10.001	10.003
ENSG00000240621	OR2AO1P	0	0	0	0
ENSG00000240622	RPL7P15	0	0	0	0
ENSG00000240624	AL138976.1	0	0	0	0
ENSG00000240625	RN7SL403P	0	0	0	0
ENSG00000240626	RN7SL150P	0	0	0	0
ENSG00000240627	AC026798.1	0	0	0	0
ENSG00000240631	RPL30P12	0	0	0	0
ENSG00000240632	SPATA31D5P	0	0	2	0
ENSG00000240634	AC145285.1	2	1	3	10
ENSG00000240637	RN7SL808P	0	0	0	0
ENSG00000240639	RN7SL666P	0	0	0	0
ENSG00000240641	RN7SL580P	0	0	0	0
ENSG00000240647	RN7SL305P	0	0	0	0
ENSG00000240651	SEPTIN7P4	0	0	0	0
ENSG00000240652	AP001024.1	1	1	0	2
ENSG00000240654	C1QTNF9	0	0	1.179	0
ENSG00000240661	AC063952.1	0	0	16	0
ENSG00000240663	RN7SL310P	0	0	0	0
ENSG00000240665	LSP1P2	0	0	0	0
ENSG00000240666	MME-AS1	1	0	0	0
ENSG00000240667	NBPF18P	0	0	0	0
ENSG00000240668	KRT8P36	0	0	0	0
ENSG00000240669	AC023424.1	0	2	4	0
ENSG00000240671	IGKV1-8	39.757	15.357	11.007	28
ENSG00000240673	AC006539.1	0	0	0	0
ENSG00000240674	AC106872.2	0	0	0	0
ENSG00000240677	MYL6P4	0	0	0	0
ENSG00000240680	AC016831.4	0	1	1	0
ENSG00000240682	ISY1	344.556	237.861	585.905	333.572
ENSG00000240687	AC082651.1	0	0	0	0
ENSG00000240692	RN7SL538P	0	0	0	0
ENSG00000240694	PNMA2	4	9	0	0
ENSG00000240695	AC117382.1	4	1	25	2
ENSG00000240698	RPS2P39	0	0	0	0
ENSG00000240704	KLF7P1	0	0	0	0
ENSG00000240707	LINC01168	0	0	0	1
ENSG00000240708	LINC02030	0	0	0	0
ENSG00000240710	AL512306.3	7	7	6	7
ENSG00000240713	RN7SL860P	0	0	0	0
ENSG00000240718	RN7SL851P	1	1	1	0
ENSG00000240720	LRRD1	0	0	0	0
ENSG00000240721	RPS4XP15	0	0	0	0
ENSG00000240723	RN7SL382P	0	0	0	0
ENSG00000240724	RPS12P15	0	0	0	0
ENSG00000240729	AC146507.2	1	0	8	0
ENSG00000240731	AL139287.1	3	6	8	1
ENSG00000240733	RN7SL502P	0	0	0	0
ENSG00000240738	AF279873.2	0	0	0	0
ENSG00000240739	AC006511.1	0	0	0	0
ENSG00000240747	KRBOX1	0	0	0	0
ENSG00000240750	RN7SL559P	3	0	7	2
ENSG00000240751	AC026348.1	0	0	0	0
ENSG00000240752	AC055731.1	0	0	0	0
ENSG00000240755	ERLEC1P1	0	0	0	0
