gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000279886	AC087645.3	0.098068	0.143116	0.17195	0.251462
ENSG00000279887	AC046158.4	0	0	0	0
ENSG00000279889	AC012183.1	0.124702	0	0	0
ENSG00000279891	AC022498.2	0.105755	0.056728	0.840209	0.17253
ENSG00000279894	Z73965.1	0	0	0.03318	0
ENSG00000279895	CU633904.3	0	0	0	0
ENSG00000279897	BIRC6-AS2	0	0	0	0.039489
ENSG00000279900	AP001767.4	0.364207	0.211256	1.27714	0.560259
ENSG00000279901	AC092117.2	0.325842	0.360106	3.988241	0.417687
ENSG00000279903	AP006248.3	0	0	0	0
ENSG00000279904	AC068057.2	0	0	0	0
ENSG00000279905	AC063926.3	0	0	0	0
ENSG00000279907	AC018695.7	0	0	0	0
ENSG00000279908	AC026748.1	0.104741	0.115977	1.532795	0.142648
ENSG00000279910	AL731532.1	0	0	0	0
ENSG00000279912	AC068448.1	0	0	0.018762	0.013764
ENSG00000279913	AP001962.1	0	0	1.476362	0
ENSG00000279914	AL008638.5	0	0	0	0
ENSG00000279917	AC079331.2	0.416213	0.388548	1.15792	0.598837
ENSG00000279918	AC006840.1	0	0	0	0
ENSG00000279919	AC068880.5	0	0	0	0
ENSG00000279920	LINC01651	0	0	0	0
ENSG00000279923	AC022417.1	0.017868	0.105193	0.375066	0.068715
ENSG00000279924	AL356585.4	0	0	0	0
ENSG00000279925	AC144522.1	0	0	0.047511	0
ENSG00000279926	AL138831.3	0	0	0	0
ENSG00000279927	Z95114.4	0.005917	0	0.062031	0.007584
ENSG00000279928	FO538757.1	0	0.076231	0	0
ENSG00000279929	AL354796.1	0	0	0	0
ENSG00000279930	AL032819.2	0.152056	0.194367	0.283507	0.077964
ENSG00000279931	AC073593.1	0	0	0	0
ENSG00000279932	AP006248.4	0	0	0	0
ENSG00000279933	AL031595.1	0.066607	0.104952	0.06206	0.051225
ENSG00000279935	AL353611.2	0	0.01092	0	0
ENSG00000279936	AC008806.1	0	0	0	0
ENSG00000279939	AC025034.2	0	0	0	0
ENSG00000279940	AC073862.3	0	0	0	0
ENSG00000279942	AL353597.3	0.01128	0.016658	0.118252	0.130128
ENSG00000279943	AC110771.1	0.026454	0	0.030823	0.056515
ENSG00000279945	AC013489.3	0.059078	0.085988	0.20724	0
ENSG00000279946	AC244034.3	0	0.010043	0.380403	0.03488
ENSG00000279948	AC008895.1	0.082301	0.145742	0.460268	0.094946
ENSG00000279949	AC022784.6	0	0	0	0
ENSG00000279951	AL138688.2	0.03012	0	0.052674	0.03861
ENSG00000279952	AC068787.1	0	0	0	0
ENSG00000279953	AC117503.3	0.048638	0	0.226844	0.020783
ENSG00000279954	BX324167.2	0.006411	0.009465	0.067211	0.016435
ENSG00000279955	AC129778.1	0	0	0	0
ENSG00000279956	AC073082.1	0	0	0	0
ENSG00000279957	AC110769.3	0	0.029711	0.282732	0.051788
ENSG00000279958	AC019278.1	0	0	0.233021	0
ENSG00000279959	AC024580.2	0	0	0	0.322969
ENSG00000279960	AL137783.1	0	0	0	0
ENSG00000279961	OR5R1	0	0	0	0
ENSG00000279962	AP001525.1	0	0	0	0.308804
ENSG00000279964	AC009949.1	0	0.017944	0.085126	0.234052
ENSG00000279965	AL390755.2	0	0	0	0
ENSG00000279966	AC008626.2	0	0	0	0
ENSG00000279967	FP671120.5	0	0	0	0.011318
ENSG00000279968	GVQW2	0.016047	0.023682	0	0.010285
ENSG00000279970	AC023024.2	0.066481	0.098029	0	0.085219
ENSG00000279971	AC020910.7	0	0	0	0
ENSG00000279972	AL356596.1	0	0	0	0
ENSG00000279973	CU104787.1	0	0	0	0
ENSG00000279976	AC073862.4	0	0	0	0
ENSG00000279977	AC008764.10	0.060863	0.107662	1.787637	0.093621
ENSG00000279979	AC012629.4	0	0	0	0
ENSG00000279980	AC018946.2	0	0	0	0.015408
ENSG00000279981	AC018445.4	0.257001	0.196581	2.196102	0.146414
ENSG00000279982	AL162274.3	0.02059	0.040528	0.071958	0.017595
ENSG00000279983	AC244517.10	0	0	0	0
ENSG00000279985	AC008498.2	0	0	0.032793	0.012025
ENSG00000279987	AC008103.1	0	0	0	0
ENSG00000279989	AC011815.3	0.135523	0.196788	0	0.173739
ENSG00000279990	RPSAP68	0	0	0	0
ENSG00000279991	AC009044.1	0	0	0	0
ENSG00000279993	AC078925.3	0	0	0	0
